Feature,Score
and,0.07200467793250032
bad,0.06705101889775233
the,0.06671599477076051
of,0.04438110327486644
worst,0.04066263791587765
as,0.03545331930234519
is,0.03343180625140607
boring,0.03248128423297969
life,0.032439138689941305
stupid,0.0322815657480483
his,0.03139941146893721
in,0.029041733810033388
most,0.02524022781138946
ridiculous,0.02452203832530242
waste,0.02430075464355208
from,0.024269750415974678
wasted,0.02390416873950907
outstanding,0.023460560708827516
awful,0.02312377737677429
perfect,0.022674121290938265
plot,0.02261913109742486
also,0.022120947450168127
great,0.0217682075989305
best,0.021725580715628134
supposed,0.02164767940477874
movie,0.02113526226478124
both,0.020517459621258394
world,0.020210452946451407
wonderful,0.02018538631563438
lame,0.020152978101727337
he,0.019837501195906437
perfectly,0.01957637411238844
wonderfully,0.019440657002722572
why,0.018545520595879106
true,0.01830006961688435
mess,0.017691789983731887
this,0.017585633099074016
different,0.017463918915147314
own,0.017311249473550117
many,0.017291618523801566
story,0.01728503606838383
for,0.017070443878078434
war,0.01692176604411655
allows,0.016780479991025055
memorable,0.016635346950257035
terrible,0.016246088533137137
family,0.01608917414147215
nothing,0.01591057425507969
script,0.015888926832809736
dull,0.0158459720583084
very,0.015492926371562077
it,0.015451187017168966
have,0.015314792706209834
bland,0.015257447211948105
unfunny,0.015202297126642006
brilliant,0.015169765279386405
poorly,0.015010652460626606
excellent,0.01495339978577881
subtle,0.014854678004908917
realistic,0.014827432723639178
that,0.014755654561502185
you,0.014630330653491841
american,0.01446297991042611
especially,0.01444605807546473
ludicrous,0.014041778298897634
least,0.013980396589597932
its,0.013815136067030553
superb,0.013689853731308599
who,0.013658546108950453
performances,0.013527441382208183
hilarious,0.013280024785152222
star,0.013272017797713143
strong,0.01325083482561873
effective,0.013189911917481645
more,0.013177638953389192
no,0.01316434435706848
none,0.0131010608801303
finest,0.012960729816638317
worse,0.012791216839527553
terrific,0.012751103762393745
but,0.012726417741399043
looks,0.012688188472471329
quite,0.012649789182272886
seen,0.012638335780248089
gives,0.012613077700852737
unfortunately,0.01252423324734786
performance,0.012520301628063835
her,0.012490860847760854
era,0.012418400141108288
overall,0.012063489301361141
although,0.01203074393967618
maybe,0.011945116056958027
