Feature,Score
and,0.055320964985041556
the,0.0491418342234279
bad,0.0478449488841616
of,0.029329560163131818
is,0.02812199905988305
worst,0.028042988358734908
as,0.026565686550100883
his,0.025908663230101835
boring,0.02192304298761267
stupid,0.021524177229234054
life,0.020991687724649252
in,0.020364689481654957
ridiculous,0.018909694358413973
most,0.018094116536208467
also,0.01676139429821121
awful,0.016731184636948258
waste,0.016529035451386804
perfect,0.016483438266651728
great,0.0163056535929347
wasted,0.015609638030802963
movie,0.01549100631713247
from,0.01496697866156106
outstanding,0.014895048664922299
mess,0.014741045081368417
supposed,0.014568269165832579
perfectly,0.014528135019875973
both,0.014479516550717747
best,0.014462716820000394
plot,0.014381128712053605
lame,0.014205478486690612
many,0.013864505354181735
world,0.01367642645508679
memorable,0.013272455601967197
it,0.013249085960834208
terrible,0.013175614711525549
he,0.013024284784485824
wonderfully,0.012960127988456433
dull,0.012821262178055655
very,0.012500981354474493
why,0.012279290345984928
wonderful,0.01218754164011538
own,0.012155803505367385
performances,0.012073422583022663
that,0.012048508830474617
excellent,0.011837709136269532
effective,0.011150012756595606
young,0.01095788716768916
subtle,0.010891840961697487
poorly,0.010805135706100123
allows,0.010727177786603596
script,0.010567380021038715
different,0.010547477325176509
who,0.010460330896384536
true,0.010457342498335737
but,0.010382983154071655
quite,0.010328252020222167
for,0.010300351259715429
realistic,0.010227325642847545
american,0.010145424936840387
family,0.010041548353408987
terrific,0.010014622425030519
hilarious,0.00997494486779217
least,0.009703769022294362
ludicrous,0.009666076784585684
war,0.009632985761847354
finest,0.009587451554742886
she,0.009481224694311879
this,0.009372059712757178
have,0.009287294254625192
portrayal,0.009273756743445327
strong,0.009253182415950497
era,0.00925240314987448
unfunny,0.009223100041881805
bland,0.009178198564059947
although,0.009125659428348639
its,0.00907763187071321
unfortunately,0.008986637391107333
superb,0.008957211204024013
performance,0.008860097097702713
nothing,0.00882269924910395
solid,0.008774491073697066
none,0.008737330286117806
more,0.008705437156001602
star,0.008665334265098336
job,0.008446582997249834
always,0.008379731425388092
fails,0.008365520182671449
